vd_dc, vg_dc, freq, i_ds (ac)
0.750,0.200,3.162 MHz,6.962E-7
0.750,0.200,3.981 MHz,6.962E-7
0.750,0.200,5.012 MHz,6.962E-7
0.750,0.200,6.310 MHz,6.962E-7
0.750,0.200,7.943 MHz,6.962E-7
0.750,0.200,10.00 MHz,6.962E-7
0.750,0.200,12.59 MHz,6.962E-7
0.750,0.200,15.85 MHz,6.962E-7
0.750,0.200,19.95 MHz,6.962E-7
0.750,0.200,25.12 MHz,6.962E-7
0.750,0.200,31.62 MHz,6.962E-7
0.750,0.200,39.81 MHz,6.962E-7
0.750,0.200,50.12 MHz,6.962E-7
0.750,0.200,63.10 MHz,6.962E-7
0.750,0.200,79.43 MHz,6.962E-7
0.750,0.200,100.0 MHz,6.962E-7
0.750,0.200,125.9 MHz,6.962E-7
0.750,0.200,158.5 MHz,6.962E-7
0.750,0.200,199.5 MHz,6.962E-7
0.750,0.200,251.2 MHz,6.962E-7
0.750,0.200,316.2 MHz,6.962E-7
0.750,0.200,398.1 MHz,6.962E-7
0.750,0.200,501.2 MHz,6.962E-7
0.750,0.200,631.0 MHz,6.963E-7
0.750,0.200,794.3 MHz,6.963E-7
0.750,0.200,1.000 GHz,6.964E-7
0.750,0.200,1.259 GHz,6.965E-7
0.750,0.200,1.585 GHz,6.967E-7
0.750,0.200,1.995 GHz,6.969E-7
0.750,0.200,2.512 GHz,6.974E-7
0.750,0.200,3.162 GHz,6.980E-7
0.750,0.200,3.981 GHz,6.991E-7
0.750,0.200,5.012 GHz,7.008E-7
0.750,0.200,6.310 GHz,7.035E-7
0.750,0.200,7.943 GHz,7.078E-7
0.750,0.200,10.00 GHz,7.145E-7
0.750,0.250,100.0 kHz,1.908E-6
0.750,0.250,125.9 kHz,1.908E-6
0.750,0.250,158.5 kHz,1.908E-6
0.750,0.250,199.5 kHz,1.908E-6
0.750,0.250,251.2 kHz,1.908E-6
0.750,0.250,316.2 kHz,1.908E-6
0.750,0.250,398.1 kHz,1.908E-6
0.750,0.250,501.2 kHz,1.908E-6
0.750,0.250,631.0 kHz,1.908E-6
0.750,0.250,794.3 kHz,1.908E-6
0.750,0.250,1.000 MHz,1.908E-6
0.750,0.250,1.259 MHz,1.908E-6
0.750,0.250,1.585 MHz,1.908E-6
0.750,0.250,1.995 MHz,1.908E-6
0.750,0.250,2.512 MHz,1.908E-6
0.750,0.250,3.162 MHz,1.908E-6
0.750,0.250,3.981 MHz,1.908E-6
0.750,0.250,5.012 MHz,1.908E-6
0.750,0.250,6.310 MHz,1.908E-6
0.750,0.250,7.943 MHz,1.908E-6
0.750,0.250,10.00 MHz,1.908E-6
0.750,0.250,12.59 MHz,1.908E-6
0.750,0.250,15.85 MHz,1.908E-6
0.750,0.250,19.95 MHz,1.908E-6
0.750,0.250,25.12 MHz,1.908E-6
0.750,0.250,31.62 MHz,1.908E-6
0.750,0.250,39.81 MHz,1.908E-6
0.750,0.250,50.12 MHz,1.908E-6
0.750,0.250,63.10 MHz,1.908E-6
0.750,0.250,79.43 MHz,1.908E-6
0.750,0.250,100.0 MHz,1.908E-6
0.750,0.250,125.9 MHz,1.908E-6
0.750,0.250,158.5 MHz,1.908E-6
0.750,0.250,199.5 MHz,1.908E-6
0.750,0.250,251.2 MHz,1.908E-6
0.750,0.250,316.2 MHz,1.908E-6
0.750,0.250,398.1 MHz,1.908E-6
0.750,0.250,501.2 MHz,1.908E-6
0.750,0.250,631.0 MHz,1.908E-6
0.750,0.250,794.3 MHz,1.908E-6
0.750,0.250,1.000 GHz,1.908E-6
0.750,0.250,1.259 GHz,1.908E-6
0.750,0.250,1.585 GHz,1.909E-6
0.750,0.250,1.995 GHz,1.909E-6
0.750,0.250,2.512 GHz,1.909E-6
0.750,0.250,3.162 GHz,1.909E-6
0.750,0.250,3.981 GHz,1.909E-6
0.750,0.250,5.012 GHz,1.910E-6
0.750,0.250,6.310 GHz,1.911E-6
0.750,0.250,7.943 GHz,1.913E-6
0.750,0.250,10.00 GHz,1.915E-6
0.750,0.300,100.0 kHz,4.591E-6
0.750,0.300,125.9 kHz,4.591E-6
0.750,0.300,158.5 kHz,4.591E-6
0.750,0.300,199.5 kHz,4.591E-6
0.750,0.300,251.2 kHz,4.591E-6
0.750,0.300,316.2 kHz,4.591E-6
0.750,0.300,398.1 kHz,4.591E-6
0.750,0.300,501.2 kHz,4.591E-6
0.750,0.300,631.0 kHz,4.591E-6
0.750,0.300,794.3 kHz,4.591E-6
0.750,0.300,1.000 MHz,4.591E-6
0.750,0.300,1.259 MHz,4.591E-6
0.750,0.300,1.585 MHz,4.591E-6
0.750,0.300,1.995 MHz,4.591E-6
0.750,0.300,2.512 MHz,4.591E-6
0.750,0.300,3.162 MHz,4.591E-6
0.750,0.300,3.981 MHz,4.591E-6
0.750,0.300,5.012 MHz,4.591E-6
0.750,0.300,6.310 MHz,4.591E-6
0.750,0.300,7.943 MHz,4.591E-6
0.750,0.300,10.00 MHz,4.591E-6
0.750,0.300,12.59 MHz,4.591E-6
0.750,0.300,15.85 MHz,4.591E-6
0.750,0.300,19.95 MHz,4.591E-6
0.750,0.300,25.12 MHz,4.591E-6
0.750,0.300,31.62 MHz,4.591E-6
0.750,0.300,39.81 MHz,4.591E-6
0.750,0.300,50.12 MHz,4.591E-6
0.750,0.300,63.10 MHz,4.591E-6
0.750,0.300,79.43 MHz,4.591E-6
0.750,0.300,100.0 MHz,4.591E-6
0.750,0.300,125.9 MHz,4.591E-6
0.750,0.300,158.5 MHz,4.591E-6
0.750,0.300,199.5 MHz,4.591E-6
0.750,0.300,251.2 MHz,4.591E-6
0.750,0.300,316.2 MHz,4.591E-6
0.750,0.300,398.1 MHz,4.591E-6
0.750,0.300,501.2 MHz,4.591E-6
0.750,0.300,631.0 MHz,4.591E-6
0.750,0.300,794.3 MHz,4.591E-6
0.750,0.300,1.000 GHz,4.591E-6
0.750,0.300,1.259 GHz,4.591E-6
0.750,0.300,1.585 GHz,4.591E-6
0.750,0.300,1.995 GHz,4.591E-6
0.750,0.300,2.512 GHz,4.591E-6
0.750,0.300,3.162 GHz,4.591E-6
0.750,0.300,3.981 GHz,4.591E-6
0.750,0.300,5.012 GHz,4.591E-6
0.750,0.300,6.310 GHz,4.592E-6
0.750,0.300,7.943 GHz,4.593E-6
0.750,0.300,10.00 GHz,4.594E-6
0.750,0.350,100.0 kHz,9.218E-6
0.750,0.350,125.9 kHz,9.218E-6
0.750,0.350,158.5 kHz,9.218E-6
0.750,0.350,199.5 kHz,9.218E-6
0.750,0.350,251.2 kHz,9.218E-6
0.750,0.350,316.2 kHz,9.218E-6
0.750,0.350,398.1 kHz,9.218E-6
0.750,0.350,501.2 kHz,9.218E-6
0.750,0.350,631.0 kHz,9.218E-6
0.750,0.350,794.3 kHz,9.218E-6
0.750,0.350,1.000 MHz,9.218E-6
0.750,0.350,1.259 MHz,9.218E-6
0.750,0.350,1.585 MHz,9.218E-6
0.750,0.350,1.995 MHz,9.218E-6
0.750,0.350,2.512 MHz,9.218E-6
0.750,0.350,3.162 MHz,9.218E-6
0.750,0.350,3.981 MHz,9.218E-6
0.750,0.350,5.012 MHz,9.218E-6
0.750,0.350,6.310 MHz,9.218E-6
0.750,0.350,7.943 MHz,9.218E-6
0.750,0.350,10.00 MHz,9.218E-6
0.750,0.350,12.59 MHz,9.218E-6
0.750,0.350,15.85 MHz,9.218E-6
0.750,0.350,19.95 MHz,9.218E-6
0.750,0.350,25.12 MHz,9.218E-6
0.750,0.350,31.62 MHz,9.218E-6
0.750,0.350,39.81 MHz,9.218E-6
0.750,0.350,50.12 MHz,9.218E-6
0.750,0.350,63.10 MHz,9.218E-6
0.750,0.350,79.43 MHz,9.218E-6
0.750,0.350,100.0 MHz,9.218E-6
0.750,0.350,125.9 MHz,9.218E-6
0.750,0.350,158.5 MHz,9.218E-6
0.750,0.350,199.5 MHz,9.218E-6
0.750,0.350,251.2 MHz,9.218E-6
0.750,0.350,316.2 MHz,9.218E-6
0.750,0.350,398.1 MHz,9.218E-6
0.750,0.350,501.2 MHz,9.218E-6
0.750,0.350,631.0 MHz,9.218E-6
0.750,0.350,794.3 MHz,9.218E-6
0.750,0.350,1.000 GHz,9.218E-6
0.750,0.350,1.259 GHz,9.218E-6
0.750,0.350,1.585 GHz,9.219E-6
0.750,0.350,1.995 GHz,9.219E-6
0.750,0.350,2.512 GHz,9.219E-6
0.750,0.350,3.162 GHz,9.219E-6
0.750,0.350,3.981 GHz,9.219E-6
0.750,0.350,5.012 GHz,9.219E-6
0.750,0.350,6.310 GHz,9.219E-6
0.750,0.350,7.943 GHz,9.220E-6
0.750,0.350,10.00 GHz,9.220E-6
0.750,0.400,100.0 kHz,1.488E-5
0.750,0.400,125.9 kHz,1.488E-5
0.750,0.400,158.5 kHz,1.488E-5
0.750,0.400,199.5 kHz,1.488E-5
0.750,0.400,251.2 kHz,1.488E-5
0.750,0.400,316.2 kHz,1.488E-5
0.750,0.400,398.1 kHz,1.488E-5
0.750,0.400,501.2 kHz,1.488E-5
0.750,0.400,631.0 kHz,1.488E-5
0.750,0.400,794.3 kHz,1.488E-5
0.750,0.400,1.000 MHz,1.488E-5
0.750,0.400,1.259 MHz,1.488E-5
0.750,0.400,1.585 MHz,1.488E-5
0.750,0.400,1.995 MHz,1.488E-5
0.750,0.400,2.512 MHz,1.488E-5
0.750,0.400,3.162 MHz,1.488E-5
0.750,0.400,3.981 MHz,1.488E-5
0.750,0.400,5.012 MHz,1.488E-5
0.750,0.400,6.310 MHz,1.488E-5
0.750,0.400,7.943 MHz,1.488E-5
0.750,0.400,10.00 MHz,1.488E-5
0.750,0.400,12.59 MHz,1.488E-5
0.750,0.400,15.85 MHz,1.488E-5
0.750,0.400,19.95 MHz,1.488E-5
0.750,0.400,25.12 MHz,1.488E-5
0.750,0.400,31.62 MHz,1.488E-5
0.750,0.400,39.81 MHz,1.488E-5
0.750,0.400,50.12 MHz,1.488E-5
0.750,0.400,63.10 MHz,1.488E-5
0.750,0.400,79.43 MHz,1.488E-5
0.750,0.400,100.0 MHz,1.488E-5
0.750,0.400,125.9 MHz,1.488E-5
0.750,0.400,158.5 MHz,1.488E-5
0.750,0.400,199.5 MHz,1.488E-5
0.750,0.400,251.2 MHz,1.488E-5
0.750,0.400,316.2 MHz,1.488E-5
0.750,0.400,398.1 MHz,1.488E-5
0.750,0.400,501.2 MHz,1.488E-5
0.750,0.400,631.0 MHz,1.488E-5
0.750,0.400,794.3 MHz,1.488E-5
0.750,0.400,1.000 GHz,1.488E-5
0.750,0.400,1.259 GHz,1.488E-5
0.750,0.400,1.585 GHz,1.488E-5
0.750,0.400,1.995 GHz,1.488E-5
0.750,0.400,2.512 GHz,1.488E-5
0.750,0.400,3.162 GHz,1.488E-5
0.750,0.400,3.981 GHz,1.488E-5
0.750,0.400,5.012 GHz,1.488E-5
0.750,0.400,6.310 GHz,1.488E-5
0.750,0.400,7.943 GHz,1.488E-5
0.750,0.400,10.00 GHz,1.488E-5
0.750,0.450,100.0 kHz,1.970E-5
0.750,0.450,125.9 kHz,1.970E-5
0.750,0.450,158.5 kHz,1.970E-5
0.750,0.450,199.5 kHz,1.970E-5
0.750,0.450,251.2 kHz,1.970E-5
0.750,0.450,316.2 kHz,1.970E-5
0.750,0.450,398.1 kHz,1.970E-5
0.750,0.450,501.2 kHz,1.970E-5
0.750,0.450,631.0 kHz,1.970E-5
0.750,0.450,794.3 kHz,1.970E-5
0.750,0.450,1.000 MHz,1.970E-5
0.750,0.450,1.259 MHz,1.970E-5
0.750,0.450,1.585 MHz,1.970E-5
0.750,0.450,1.995 MHz,1.970E-5
0.750,0.450,2.512 MHz,1.970E-5
0.750,0.450,3.162 MHz,1.970E-5
0.750,0.450,3.981 MHz,1.970E-5
0.750,0.450,5.012 MHz,1.970E-5
0.750,0.450,6.310 MHz,1.970E-5
0.750,0.450,7.943 MHz,1.970E-5
0.750,0.450,10.00 MHz,1.970E-5
0.750,0.450,12.59 MHz,1.970E-5
0.750,0.450,15.85 MHz,1.970E-5
0.750,0.450,19.95 MHz,1.970E-5
0.750,0.450,25.12 MHz,1.970E-5
0.750,0.450,31.62 MHz,1.970E-5
0.750,0.450,39.81 MHz,1.970E-5
0.750,0.450,50.12 MHz,1.970E-5
0.750,0.450,63.10 MHz,1.970E-5
0.750,0.450,79.43 MHz,1.970E-5
0.750,0.450,100.0 MHz,1.970E-5
0.750,0.450,125.9 MHz,1.970E-5
0.750,0.450,158.5 MHz,1.970E-5
0.750,0.450,199.5 MHz,1.970E-5
0.750,0.450,251.2 MHz,1.970E-5
0.750,0.450,316.2 MHz,1.970E-5
0.750,0.450,398.1 MHz,1.970E-5
0.750,0.450,501.2 MHz,1.970E-5
0.750,0.450,631.0 MHz,1.970E-5
0.750,0.450,794.3 MHz,1.970E-5
0.750,0.450,1.000 GHz,1.970E-5
0.750,0.450,1.259 GHz,1.970E-5
0.750,0.450,1.585 GHz,1.970E-5
0.750,0.450,1.995 GHz,1.970E-5
0.750,0.450,2.512 GHz,1.970E-5
0.750,0.450,3.162 GHz,1.970E-5
0.750,0.450,3.981 GHz,1.970E-5
0.750,0.450,5.012 GHz,1.970E-5
0.750,0.450,6.310 GHz,1.970E-5
0.750,0.450,7.943 GHz,1.970E-5
0.750,0.450,10.00 GHz,1.970E-5
0.750,0.500,100.0 kHz,2.273E-5
0.750,0.500,125.9 kHz,2.273E-5
0.750,0.500,158.5 kHz,2.273E-5
0.750,0.500,199.5 kHz,2.273E-5
0.750,0.500,251.2 kHz,2.273E-5
0.750,0.500,316.2 kHz,2.273E-5
0.750,0.500,398.1 kHz,2.273E-5
0.750,0.500,501.2 kHz,2.273E-5
0.750,0.500,631.0 kHz,2.273E-5
0.750,0.500,794.3 kHz,2.273E-5
0.750,0.500,1.000 MHz,2.273E-5
0.750,0.500,1.259 MHz,2.273E-5
0.750,0.500,1.585 MHz,2.273E-5
0.750,0.500,1.995 MHz,2.273E-5
0.750,0.500,2.512 MHz,2.273E-5
0.750,0.500,3.162 MHz,2.273E-5
0.750,0.500,3.981 MHz,2.273E-5
0.750,0.500,5.012 MHz,2.273E-5
0.750,0.500,6.310 MHz,2.273E-5
0.750,0.500,7.943 MHz,2.273E-5
0.750,0.500,10.00 MHz,2.273E-5
0.750,0.500,12.59 MHz,2.273E-5
0.750,0.500,15.85 MHz,2.273E-5
0.750,0.500,19.95 MHz,2.273E-5
0.750,0.500,25.12 MHz,2.273E-5
0.750,0.500,31.62 MHz,2.273E-5
0.750,0.500,39.81 MHz,2.273E-5
0.750,0.500,50.12 MHz,2.273E-5
0.750,0.500,63.10 MHz,2.273E-5
0.750,0.500,79.43 MHz,2.273E-5
0.750,0.500,100.0 MHz,2.273E-5
0.750,0.500,125.9 MHz,2.273E-5
0.750,0.500,158.5 MHz,2.273E-5
0.750,0.500,199.5 MHz,2.273E-5
0.750,0.500,251.2 MHz,2.273E-5
0.750,0.500,316.2 MHz,2.273E-5
0.750,0.500,398.1 MHz,2.273E-5
0.750,0.500,501.2 MHz,2.273E-5
0.750,0.500,631.0 MHz,2.273E-5
0.750,0.500,794.3 MHz,2.273E-5
0.750,0.500,1.000 GHz,2.273E-5
0.750,0.500,1.259 GHz,2.273E-5
0.750,0.500,1.585 GHz,2.273E-5
0.750,0.500,1.995 GHz,2.273E-5
0.750,0.500,2.512 GHz,2.273E-5
0.750,0.500,3.162 GHz,2.273E-5
0.750,0.500,3.981 GHz,2.273E-5
0.750,0.500,5.012 GHz,2.273E-5
0.750,0.500,6.310 GHz,2.273E-5
0.750,0.500,7.943 GHz,2.273E-5
0.750,0.500,10.00 GHz,2.273E-5
0.750,0.550,100.0 kHz,2.422E-5
0.750,0.550,125.9 kHz,2.422E-5
0.750,0.550,158.5 kHz,2.422E-5
0.750,0.550,199.5 kHz,2.422E-5
0.750,0.550,251.2 kHz,2.422E-5
0.750,0.550,316.2 kHz,2.422E-5
0.750,0.550,398.1 kHz,2.422E-5
0.750,0.550,501.2 kHz,2.422E-5
0.750,0.550,631.0 kHz,2.422E-5
0.750,0.550,794.3 kHz,2.422E-5
0.750,0.550,1.000 MHz,2.422E-5
0.750,0.550,1.259 MHz,2.422E-5
0.750,0.550,1.585 MHz,2.422E-5
0.750,0.550,1.995 MHz,2.422E-5
0.750,0.550,2.512 MHz,2.422E-5
0.750,0.550,3.162 MHz,2.422E-5
0.750,0.550,3.981 MHz,2.422E-5
0.750,0.550,5.012 MHz,2.422E-5
0.750,0.550,6.310 MHz,2.422E-5
0.750,0.550,7.943 MHz,2.422E-5
0.750,0.550,10.00 MHz,2.422E-5
0.750,0.550,12.59 MHz,2.422E-5
0.750,0.550,15.85 MHz,2.422E-5
0.750,0.550,19.95 MHz,2.422E-5
0.750,0.550,25.12 MHz,2.422E-5
0.750,0.550,31.62 MHz,2.422E-5
0.750,0.550,39.81 MHz,2.422E-5
0.750,0.550,50.12 MHz,2.422E-5
0.750,0.550,63.10 MHz,2.422E-5
0.750,0.550,79.43 MHz,2.422E-5
0.750,0.550,100.0 MHz,2.422E-5
0.750,0.550,125.9 MHz,2.422E-5
0.750,0.550,158.5 MHz,2.422E-5
0.750,0.550,199.5 MHz,2.422E-5
0.750,0.550,251.2 MHz,2.422E-5
0.750,0.550,316.2 MHz,2.422E-5
0.750,0.550,398.1 MHz,2.422E-5
0.750,0.550,501.2 MHz,2.422E-5
0.750,0.550,631.0 MHz,2.422E-5
0.750,0.550,794.3 MHz,2.422E-5
0.750,0.550,1.000 GHz,2.422E-5
0.750,0.550,1.259 GHz,2.422E-5
0.750,0.550,1.585 GHz,2.422E-5
0.750,0.550,1.995 GHz,2.422E-5
0.750,0.550,2.512 GHz,2.422E-5
0.750,0.550,3.162 GHz,2.422E-5
0.750,0.550,3.981 GHz,2.422E-5
0.750,0.550,5.012 GHz,2.422E-5
0.750,0.550,6.310 GHz,2.422E-5
0.750,0.550,7.943 GHz,2.422E-5
0.750,0.550,10.00 GHz,2.422E-5
0.750,0.600,100.0 kHz,2.479E-5
0.750,0.600,125.9 kHz,2.479E-5
0.750,0.600,158.5 kHz,2.479E-5
0.750,0.600,199.5 kHz,2.479E-5
0.750,0.600,251.2 kHz,2.479E-5
0.750,0.600,316.2 kHz,2.479E-5
0.750,0.600,398.1 kHz,2.479E-5
0.750,0.600,501.2 kHz,2.479E-5
0.750,0.600,631.0 kHz,2.479E-5
0.750,0.600,794.3 kHz,2.479E-5
0.750,0.600,1.000 MHz,2.479E-5
0.750,0.600,1.259 MHz,2.479E-5
0.750,0.600,1.585 MHz,2.479E-5
0.750,0.600,1.995 MHz,2.479E-5
0.750,0.600,2.512 MHz,2.479E-5
0.750,0.600,3.162 MHz,2.479E-5
0.750,0.600,3.981 MHz,2.479E-5
0.750,0.600,5.012 MHz,2.479E-5
0.750,0.600,6.310 MHz,2.479E-5
0.750,0.600,7.943 MHz,2.479E-5
0.750,0.600,10.00 MHz,2.479E-5
0.750,0.600,12.59 MHz,2.479E-5
0.750,0.600,15.85 MHz,2.479E-5
0.750,0.600,19.95 MHz,2.479E-5
0.750,0.600,25.12 MHz,2.479E-5
0.750,0.600,31.62 MHz,2.479E-5
0.750,0.600,39.81 MHz,2.479E-5
0.750,0.600,50.12 MHz,2.479E-5
0.750,0.600,63.10 MHz,2.479E-5
0.750,0.600,79.43 MHz,2.479E-5
0.750,0.600,100.0 MHz,2.479E-5
0.750,0.600,125.9 MHz,2.479E-5
0.750,0.600,158.5 MHz,2.479E-5
0.750,0.600,199.5 MHz,2.479E-5
0.750,0.600,251.2 MHz,2.479E-5
0.750,0.600,316.2 MHz,2.479E-5
0.750,0.600,398.1 MHz,2.479E-5
0.750,0.600,501.2 MHz,2.479E-5
0.750,0.600,631.0 MHz,2.479E-5
0.750,0.600,794.3 MHz,2.479E-5
0.750,0.600,1.000 GHz,2.479E-5
0.750,0.600,1.259 GHz,2.479E-5
0.750,0.600,1.585 GHz,2.479E-5
0.750,0.600,1.995 GHz,2.479E-5
0.750,0.600,2.512 GHz,2.479E-5
0.750,0.600,3.162 GHz,2.479E-5
0.750,0.600,3.981 GHz,2.479E-5
0.750,0.600,5.012 GHz,2.479E-5
0.750,0.600,6.310 GHz,2.479E-5
0.750,0.600,7.943 GHz,2.479E-5
0.750,0.600,10.00 GHz,2.479E-5
0.750,0.650,100.0 kHz,2.491E-5
0.750,0.650,125.9 kHz,2.491E-5
0.750,0.650,158.5 kHz,2.491E-5
0.750,0.650,199.5 kHz,2.491E-5
0.750,0.650,251.2 kHz,2.491E-5
0.750,0.650,316.2 kHz,2.491E-5
0.750,0.650,398.1 kHz,2.491E-5
0.750,0.650,501.2 kHz,2.491E-5
0.750,0.650,631.0 kHz,2.491E-5
0.750,0.650,794.3 kHz,2.491E-5
0.750,0.650,1.000 MHz,2.491E-5
0.750,0.650,1.259 MHz,2.491E-5
0.750,0.650,1.585 MHz,2.491E-5
0.750,0.650,1.995 MHz,2.491E-5
0.750,0.650,2.512 MHz,2.491E-5
0.750,0.650,3.162 MHz,2.491E-5
0.750,0.650,3.981 MHz,2.491E-5
0.750,0.650,5.012 MHz,2.491E-5
0.750,0.650,6.310 MHz,2.491E-5
0.750,0.650,7.943 MHz,2.491E-5
0.750,0.650,10.00 MHz,2.491E-5
0.750,0.650,12.59 MHz,2.491E-5
0.750,0.650,15.85 MHz,2.491E-5
0.750,0.650,19.95 MHz,2.491E-5
0.750,0.650,25.12 MHz,2.491E-5
0.750,0.650,31.62 MHz,2.491E-5
0.750,0.650,39.81 MHz,2.491E-5
0.750,0.650,50.12 MHz,2.491E-5
0.750,0.650,63.10 MHz,2.491E-5
0.750,0.650,79.43 MHz,2.491E-5
0.750,0.650,100.0 MHz,2.491E-5
0.750,0.650,125.9 MHz,2.491E-5
0.750,0.650,158.5 MHz,2.491E-5
0.750,0.650,199.5 MHz,2.491E-5
0.750,0.650,251.2 MHz,2.491E-5
0.750,0.650,316.2 MHz,2.491E-5
0.750,0.650,398.1 MHz,2.491E-5
0.750,0.650,501.2 MHz,2.491E-5
0.750,0.650,631.0 MHz,2.491E-5
0.750,0.650,794.3 MHz,2.491E-5
0.750,0.650,1.000 GHz,2.491E-5
0.750,0.650,1.259 GHz,2.491E-5
0.750,0.650,1.585 GHz,2.491E-5
0.750,0.650,1.995 GHz,2.491E-5
0.750,0.650,2.512 GHz,2.491E-5
0.750,0.650,3.162 GHz,2.491E-5
0.750,0.650,3.981 GHz,2.491E-5
0.750,0.650,5.012 GHz,2.491E-5
0.750,0.650,6.310 GHz,2.491E-5
0.750,0.650,7.943 GHz,2.491E-5
0.750,0.650,10.00 GHz,2.491E-5
0.750,0.700,100.0 kHz,2.484E-5
0.750,0.700,125.9 kHz,2.484E-5
0.750,0.700,158.5 kHz,2.484E-5
0.750,0.700,199.5 kHz,2.484E-5
0.750,0.700,251.2 kHz,2.484E-5
0.750,0.700,316.2 kHz,2.484E-5
0.750,0.700,398.1 kHz,2.484E-5
0.750,0.700,501.2 kHz,2.484E-5
0.750,0.700,631.0 kHz,2.484E-5
0.750,0.700,794.3 kHz,2.484E-5
0.750,0.700,1.000 MHz,2.484E-5
0.750,0.700,1.259 MHz,2.484E-5
0.750,0.700,1.585 MHz,2.484E-5
0.750,0.700,1.995 MHz,2.484E-5
0.750,0.700,2.512 MHz,2.484E-5
0.750,0.700,3.162 MHz,2.484E-5
0.750,0.700,3.981 MHz,2.484E-5
0.750,0.700,5.012 MHz,2.484E-5
0.750,0.700,6.310 MHz,2.484E-5
0.750,0.700,7.943 MHz,2.484E-5
0.750,0.700,10.00 MHz,2.484E-5
0.750,0.700,12.59 MHz,2.484E-5
0.750,0.700,15.85 MHz,2.484E-5
0.750,0.700,19.95 MHz,2.484E-5
0.750,0.700,25.12 MHz,2.484E-5
0.750,0.700,31.62 MHz,2.484E-5
0.750,0.700,39.81 MHz,2.484E-5
0.750,0.700,50.12 MHz,2.484E-5
0.750,0.700,63.10 MHz,2.484E-5
0.750,0.700,79.43 MHz,2.484E-5
0.750,0.700,100.0 MHz,2.484E-5
0.750,0.700,125.9 MHz,2.484E-5
0.750,0.700,158.5 MHz,2.484E-5
0.750,0.700,199.5 MHz,2.484E-5
0.750,0.700,251.2 MHz,2.484E-5
0.750,0.700,316.2 MHz,2.484E-5
0.750,0.700,398.1 MHz,2.484E-5
0.750,0.700,501.2 MHz,2.484E-5
0.750,0.700,631.0 MHz,2.484E-5
0.750,0.700,794.3 MHz,2.484E-5
0.750,0.700,1.000 GHz,2.484E-5
0.750,0.700,1.259 GHz,2.484E-5
0.750,0.700,1.585 GHz,2.484E-5
0.750,0.700,1.995 GHz,2.484E-5
0.750,0.700,2.512 GHz,2.484E-5
0.750,0.700,3.162 GHz,2.484E-5
0.750,0.700,3.981 GHz,2.484E-5
0.750,0.700,5.012 GHz,2.484E-5
0.750,0.700,6.310 GHz,2.484E-5
0.750,0.700,7.943 GHz,2.484E-5
0.750,0.700,10.00 GHz,2.484E-5
0.750,0.750,100.0 kHz,2.471E-5
0.750,0.750,125.9 kHz,2.471E-5
0.750,0.750,158.5 kHz,2.471E-5
0.750,0.750,199.5 kHz,2.471E-5
0.750,0.750,251.2 kHz,2.471E-5
0.750,0.750,316.2 kHz,2.471E-5
0.750,0.750,398.1 kHz,2.471E-5
0.750,0.750,501.2 kHz,2.471E-5
0.750,0.750,631.0 kHz,2.471E-5
0.750,0.750,794.3 kHz,2.471E-5
0.750,0.750,1.000 MHz,2.471E-5
0.750,0.750,1.259 MHz,2.471E-5
0.750,0.750,1.585 MHz,2.471E-5
0.750,0.750,1.995 MHz,2.471E-5
0.750,0.750,2.512 MHz,2.471E-5
0.750,0.750,3.162 MHz,2.471E-5
0.750,0.750,3.981 MHz,2.471E-5
0.750,0.750,5.012 MHz,2.471E-5
0.750,0.750,6.310 MHz,2.471E-5
0.750,0.750,7.943 MHz,2.471E-5
0.750,0.750,10.00 MHz,2.471E-5
0.750,0.750,12.59 MHz,2.471E-5
0.750,0.750,15.85 MHz,2.471E-5
0.750,0.750,19.95 MHz,2.471E-5
0.750,0.750,25.12 MHz,2.471E-5
0.750,0.750,31.62 MHz,2.471E-5
0.750,0.750,39.81 MHz,2.471E-5
0.750,0.750,50.12 MHz,2.471E-5
0.750,0.750,63.10 MHz,2.471E-5
0.750,0.750,79.43 MHz,2.471E-5
0.750,0.750,100.0 MHz,2.471E-5
0.750,0.750,125.9 MHz,2.471E-5
0.750,0.750,158.5 MHz,2.471E-5
0.750,0.750,199.5 MHz,2.471E-5
0.750,0.750,251.2 MHz,2.471E-5
0.750,0.750,316.2 MHz,2.471E-5
0.750,0.750,398.1 MHz,2.471E-5
0.750,0.750,501.2 MHz,2.471E-5
0.750,0.750,631.0 MHz,2.471E-5
0.750,0.750,794.3 MHz,2.471E-5
0.750,0.750,1.000 GHz,2.471E-5
0.750,0.750,1.259 GHz,2.471E-5
0.750,0.750,1.585 GHz,2.471E-5
0.750,0.750,1.995 GHz,2.471E-5
0.750,0.750,2.512 GHz,2.471E-5
0.750,0.750,3.162 GHz,2.471E-5
0.750,0.750,3.981 GHz,2.471E-5
0.750,0.750,5.012 GHz,2.471E-5
0.750,0.750,6.310 GHz,2.471E-5
0.750,0.750,7.943 GHz,2.471E-5
0.750,0.750,10.00 GHz,2.471E-5
0.750,0.800,100.0 kHz,2.457E-5
0.750,0.800,125.9 kHz,2.457E-5
0.750,0.800,158.5 kHz,2.457E-5
0.750,0.800,199.5 kHz,2.457E-5
0.750,0.800,251.2 kHz,2.457E-5
0.750,0.800,316.2 kHz,2.457E-5
0.750,0.800,398.1 kHz,2.457E-5
0.750,0.800,501.2 kHz,2.457E-5
0.750,0.800,631.0 kHz,2.457E-5
0.750,0.800,794.3 kHz,2.457E-5
